doi,functionals,basis_sets,softwares,elements
10.1002/adfm.202105731,PBE,plane-wave,,
10.1002/adfm.202105917,PBE with Grimme D3 correction,DZVP-MOLOPT-GTH,CP2K,
10.1002/adfm.202106102,B3LYP,6-31+G(d),Gaussian 16,
10.1002/adfm.202106156,PBE,,,
10.1002/adfm.202106194,PBE,plane-wave,CASTEP,
10.1002/adfm.202106233,BPE | GGA-PBE96,LCAO,Nanodcal | RESCU,
10.1002/adfm.202106349,PBE,PAW pseudopotential,VASP,
10.1002/adfm.202106645,PBE,"ultrasoft pseudopotentials, PAW",CASTEP,
10.1002/adfm.202106835,PBE,,VASP,
10.1002/adfm.202106923,PBE,,VASP,Ca Mn Na Ni
10.1002/adfm.202106958,PBE,DNP basis set,VASP,Be H He Li
10.1002/adfm.202106966,PBE,,VASP,
10.1002/adfm.202107060,PBE,,VASP,
10.1002/adfm.202107072,PBE,PAW pseudopotentials,VASP,
10.1002/adfm.202107086,PBE,,VASP,
10.1002/adfm.202107179,PBE,plane-wave,VASP,
10.1002/adfm.202107182,PBE,projector augmented wave pseudopotentials,VASP,
10.1002/adfm.202107308,PBE,,Materials Studio,
10.1002/adfm.202107333,PBE,plane wave basis sets,VASP,
10.1002/adfm.202107382,,plane-wave,CASTEP,
10.1002/adfm.202107439,PBE,plane-wave,,
10.1002/adfm.202107518,GFN2-xTB,,GaussView 5.0 | VMD | xTB,
10.1002/adfm.202107555,PBE,,,
10.1002/adfm.202107683,PBE,plane wave basis,VASP,
10.1002/adfm.202107802,Perdew-Burke-Ernzerhof (PBE),plane-wave,VASP,
10.1002/adfm.202107922,,,ImageJ,
10.1002/adfm.202107992,GGA,numerical linear combination of atomic orbitals,QuantumATK,
10.1002/adfm.202108146,M06,6-311G(d),Gaussian 16,
10.1002/adfm.202108167,PBE,,VASP,
10.1002/adfm.202108225,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.202108278,,,VASP,
10.1002/adfm.202108305,PBE,,VASP,
10.1002/adfm.202108316,PBE,PAW,VASP,
10.1002/adfm.202108345,PBE,PAW,VASP,
10.1002/adfm.202108598,B3LYP-D3(BJ),def2-SVP,Gaussian 09 | Multiwfn,
10.1002/adfm.202108615,PBE,,,
10.1002/adfm.202108662,PBE,,,
10.1002/adfm.202108706,PBE,PAW,LAMMPS | VASP,
10.1002/adfm.202108798,B3LYP-D3,6-31G(d),Gaussian 09,
10.1002/adfm.202108814,,,,N W
10.1002/adfm.202108843,PBE,PAW,VASP,
10.1002/adfm.202108861,B3LYP,6-31G,Gaussian 09,
10.1002/adfm.202108959,PBE,plane-wave pseudopotential,VASP,
10.1002/adfm.202108991,PBE,plane-wave,VASP,Cr Ru
10.1002/adfm.202109112,PBE,ultrasoft pseudopotential,CASTEP,
10.1002/adfm.202109218,PBE,projector augmented wave (PAW),VASP,
10.1002/adfm.202109310,PBE,,VASP,
10.1002/adfm.202109421,,,,Be
10.1002/adfm.202109556,PBE,double-numerical-polarization (DNP),DMol3,
10.1002/adfm.202109693,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202109731,PBE,,VASP,
10.1002/adfm.202109749,PBE,PAW,VASP,
10.1002/adfm.202109792,PBE,,VASP,
10.1002/adfm.202109893,PBE,projector-augmented-plane-wave,VASP,
10.1002/adfm.202109907,B3LYP,"6-311G+(d,p)",,
10.1002/adfm.202110016,PBE,PAW,VASP,
10.1002/adfm.202110136,PBE,PAW,VASP,
10.1002/adfm.202110174,PBE,plane wave basis set (kinetic energy cutoff = 400 eV),VASP,
10.1002/adfm.202110192,PBE,projector augmented wave (PAW),VASP,
10.1002/adfm.202110224,PBE,PAW potentials,VASP,
10.1002/adfm.202110313,PBE,plane-wave,VASP,
10.1002/adfm.202110423,PBE,,VASP,
10.1002/adfm.202110476,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202110572,PBE,plane-wave,VASP,
10.1002/adfm.202110645,PBE,,VASP,
10.1002/adfm.202110649,PBE,PAW,VASP,
10.1002/adfm.202110694,generalized gradient approximation (PBE),double numeric quality basis set with polarization functions,DMol3,
10.1002/adfm.202110702,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202110853,PBE,,VASP,
10.1002/adfm.202110857,,,Atomic Simulation Environment (ASE),
10.1002/adfm.202110910,PBE,,VASP,
10.1002/adfm.202111045,PBE,PAW,VASP,
10.1002/adfm.202111116,,,VASP,
10.1002/adfm.202111133,PBE,plane wave basis set at a cutoff energy of 400 eV,VASP,
10.1002/adfm.202111180,PBE,projector augmented wave (PAW),VASP,
10.1002/adfm.202111272,revised Perdew-Burke-Enzerhof (rPBE),plane-wave,VASP,
10.1002/adfm.202111365,PBE,,VASP,
10.1002/adfm.202111396,BLYP | PBE,double numerical atomic orbital augmented by a polarization function | double numerical plus polarization (DNP),DMol3 | Materials Studio,
10.1002/adfm.202111446,BEEF-vdW,plane wave basis,VASP,
10.1002/adfm.202111466,PBE,projector augmented wave (PAW) method,VASP,
10.1002/adfm.202111501,,,CHI. 660D,
10.1002/adfm.202111565,PBE,norm-conserving pseudopotentials,CASTEP,
10.1002/adfm.202111597,PBE,,VASP,
10.1002/adfm.202111615,"B3LYP, PBE",6-31G(d),Gaussian 09,
10.1002/adfm.202111740,PBE | optB86b-vdW,PAW,VASP,
10.1002/adfm.202111835,PBE,PAW potentials,VASP,
10.1002/adfm.202111999,PBE,ultrasoft pseudopotentials,Materials Studio,
10.1002/adfm.202112027,PBE,PAW,VASP,
10.1002/adfm.202112164,PBE + U,Ba_sv 5s5p6s | Co 3d4s | La 5s5d6s | O 2s2p | P 2s3p | Pr 4d5s5p,VASP,
10.1002/adfm.202112169,PBE,,VASP,
10.1002/adfm.202112207,RPBE,PAW,VASP,
10.1002/adfm.202112362,PBE,PAW,VASP,
10.1002/adfm.202112428,,,,Ce
10.1002/adfm.202112433,B3LYP,6-31G,Gaussian 09,
10.1002/adfm.202112501,PBE,plane-wave basis sets,VASP,
10.1002/adfm.202112540,PBE,plane-wave,VASP,
10.1002/adfm.202112609,B3LYP | PBE,"6-311+G(2d,2p) | DZP-MOLOPT",AmberTools 18 | CP2K | Gaussian 03,
10.1002/adfm.202112623,"PBE, Grimme D3",DZVP-MOLOPT-SR-GTH,CP2K,
10.1002/adfm.202112647,PBE,,,
10.1002/adfm.202112674,PBE,PAW,VASP,
10.1002/adfm.202112693,PBE | ωB97X-D,DNP version 4.4 | def2-SVP,DMol3 | GROMACS 2019.3 | Gaussian 16,
10.1002/adfm.202112831,PBE,ultrasoft pseudopotentials,Material Studio,
10.1002/adfm.202113013,PBE,plane-wave,VASP,
10.1002/adfm.202113030,,,VASP,
10.1002/adfm.202113047,PBE,DFT semi-core pseudopots,DMol3,
10.1002/adfm.202113075,PBE,,VASP,
10.1002/adfm.202113191,PBE,PAW,VASP,
10.1002/adfm.202113235,PBE,,,
10.1002/adfm.202113399,,,VASP,
10.1002/adfm.202113424,PBE,plane-wave basis,VASP,
10.1002/adfm.202200131,PBE,,VASP,
10.1002/adfm.202200201,,,SPuDS,
10.1002/adfm.202200331,PBE,double numerical plus polarization (DNP),DMol3,
10.1002/adfm.202200333,RPBE,,VASP,B Be C H He Li
10.1002/adfm.202200397,PBE,projected augmented wave potentials,VASP,
10.1002/adfm.202200529,SCAN | rVV10,,,
10.1002/adfm.202200618,B3LYP-D3,def2-QZVP,Gaussian 16,
10.1002/adfm.202200726,PBE,PAW potentials,VASP,
10.1002/adfm.202200733,PBE,PAW pseudopotentials,VASP,
10.1002/adfm.202200880,B3LYP,6-31G(d),,
10.1002/adfm.202200933,PBE,plane-wave,VASP,
10.1002/adfm.202201127,PBE,,VASP,
10.1002/adfm.202201193,PBE,PAW,VASP,
10.1002/adfm.202201262,,,MATLAB,
10.1002/adfm.202201322,PBE,PAW,VASP,
10.1002/adfm.202201518,PBE,PAW,VASP,
10.1002/adfm.202201542,,,Materials Studio,
10.1002/adfm.202201593,B3LYP,6-311G(d),Gaussian 16,
10.1002/adfm.202201772,PBEh,def2-mSVP,Q-Chem,
10.1002/adfm.202201944,,PAW,VASP,
10.1002/adfm.202202063,PBE,plane-wave,VASP,
10.1002/adfm.202202245,,,,Co Mo Sr
10.1002/adfm.202202342,PBE,plane-wave,VASP,
10.1002/adfm.202202351,PBE,projector augmented wave pseudopotential,VASP,
10.1002/adfm.202202571,PBE,,VASP,
10.1002/adfm.202202679,PBE,,VASP,
10.1002/adfm.202202737,PBE,,VASP,
10.1002/adfm.202202766,B3LYP-D3(BJ) | M06-2X-D3 | PBE,TZVP | ma-def2-TZVP,VASP,
10.1002/adfm.202202820,PBE,400 eV,VASP,
10.1002/adfm.202202878,PBE,,VASP,C Ni O
10.1002/adfm.202202929,B3LYP,"6-31G(d,p)",,
10.1002/adfm.202203001,PBE,DZVP-MOLOPT-GTH,CP2K,
10.1002/adfm.202203067,PBE,plane-wave basis truncated at 500 eV,VASP,
10.1002/adfm.202203171,PBE,def2-TZVP | double-δ Gaussian,CP2K | Gaussian 16 | Materials Studio | Multiwfn | VMD 1.9.4,
10.1002/adfm.202203200,B3LYP-D3(BJ),def2-SVP,Gaussian,
10.1002/adfm.202203233,PBE,,VASP,
10.1002/adfm.202203252,PBE,PAW potentials,VASP,
10.1002/adfm.202203263,PBE,"projected augmented wave potentials, plane wave basis set",VASP,
10.1002/adfm.202203342,PBE,norm-conserving pseudopotentials,CASTEP,
10.1002/adfm.202203424,PBE,PAW,VASP,
10.1002/adfm.202203439,,,VASP,
10.1002/adfm.202203471,,PAW,VASP,
10.1002/adfm.202203677,PBE,,vaspkit,
10.1002/adfm.202203732,PBE,ultrasoft pseudopotentials,Quantum ESPRESSO,
10.1002/adfm.202203794,PBE,PAW,VASP,
10.1002/adfm.202203858,PBE,PAW,VASP,
10.1002/adfm.202203902,PBE,PAW,VASP,Fe
10.1002/adfm.202203905,B3LYP | PBE,"6-31+g(d,p) | SDD",GROMACS | Gaussian 16 | VASP,
10.1002/adfm.202203995,PBE,plane-wave,VASP,
10.1002/adfm.202204026,,,VASP,
10.1002/adfm.202204031,PBE,,VASP,
10.1002/adfm.202204056,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202204066,PBE,plane-wave basis,VASP,
10.1002/adfm.202204129,B3LYP,"6-31+G(d,p)",Gaussian 16,
10.1002/adfm.202204169,PBE,plane-wave basis,VASP,
10.1002/adfm.202204175,PBE,PAW potential,VASP,
10.1002/adfm.202204289,PBE,PAW,VASP,
10.1002/adfm.202204352,B3LYP | ωB97X-D,"6-31+G(d,p) | 6-31G(d,p)",,
10.1002/adfm.202204364,PBE,PAW,VASP,
10.1002/adfm.202204396,PBE,PAW,VASP,
10.1002/adfm.202204458,PBE,plane-wave,VASP,
10.1002/adfm.202204459,B3LYP,def2-TZVP,ORCA,
10.1002/adfm.202204493,B3LYP,6-31G(d),,
10.1002/adfm.202204495,PBE,PAW,VASP,
10.1002/adfm.202204635,Perdew-Burke-Ernzerhof (PBE),double numerical plus polarization (DNP),DMol3,
10.1002/adfm.202204725,PBE,,CASTEP,
10.1002/adfm.202204929,B3LYP | CAM-B3LYP,"6-311++G(d,p) | 6-311G(d) | cc-pVTZ",Gaussian 16,
10.1002/adfm.202204991,PBE,projector augmented wave,VASP,
10.1002/adfm.202205029,B3LYP | PBE,"6-311G+(d,p) | def2-TZVPD",Gaussian 09,
10.1002/adfm.202205054,,,,Bi Mn O
10.1002/adfm.202205161,PBE,plane-wave basis sets,VASP,
10.1002/adfm.202205177,PBE,double numerical basis including d- and p-polarization function (DNP),DMol3,
10.1002/adfm.202205214,PBE,plane wave basis sets,VASP,Br Cl Mn O Sc Zr
10.1002/adfm.202205216,,,VASP,
10.1002/adfm.202205222,B3LYP | DFT-D3(BJ),6-311+G** | 6-31G(d),Gaussian 16 | VASP,
10.1002/adfm.202205330,PBE,,Materials Studio,
10.1002/adfm.202205409,B3LYP,6-311+G** | 6-31G(d) | def2SV(P) | def2TZV(P),Gaussian 16,
10.1002/adfm.202205453,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202205461,PBE,Projector-augmented-wave technology,VASP,
10.1002/adfm.202205507,PBE-D3,"6-311+G(d,p), DZVP-MOLOPT",Gaussian 09,
10.1002/adfm.202205635,PBE,,VASP,
10.1002/adfm.202205637,PBE,,VASP,
10.1002/adfm.202205654,PBE,,VASP,
10.1002/adfm.202205744,B3LYP,"6-311++g(d,p)",,
10.1002/adfm.202205870,PBE,,VASP,
10.1002/adfm.202205874,PBE,,Artemis | Athena | CASTEP | Demeter | Materials Studio,
10.1002/adfm.202205920,PBE,standard projector augmented wave pseudopotential,VASP,
10.1002/adfm.202205974,PBE,projected augmented plane-wave method,VASP,
10.1002/adfm.202206018,B3LYP,"6-31+G(d,p)",Gaussian 16 | Material Studio 4.3 | Multiwfn,
10.1002/adfm.202206081,PBE,PAW,VASP,
10.1002/adfm.202206151,,,,Bi Br Cs
10.1002/adfm.202206157,PBE,plane wave basis set with a kinetic energy cutoff of 520 eV,,
10.1002/adfm.202206388,PBE,DZVP-MOLOPT-SR-GTH,CP2K,
10.1002/adfm.202206513,,,VASP,
10.1002/adfm.202206574,PBE,6-31G(d),Gaussian 09 | VASP,
10.1002/adfm.202206585,PBE,,CP2K,B C
10.1002/adfm.202206778,B3LYP,def2-TZVP,Gaussian 09,
10.1002/adfm.202207116,PBE,PAW,VASP,
10.1002/adfm.202207330,PBE,PWUS pseudopotential,CASTEP,
10.1002/adfm.202207331,,PAW,VASP,
10.1002/adfm.202207408,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202207482,PBE,plane wave basis set of 500 eV,VASP,
10.1002/adfm.202207579,PBE,PAW,VASP,
10.1002/adfm.202207638,PBE,projector augmented wave pseudopotential,Quantum ESPRESSO | VASP,
10.1002/adfm.202207886,B3LYP,"6-31G(d,p)",,
10.1002/adfm.202207903,PBE,PAW,VASP,
10.1002/adfm.202207969,,,CHI760E,
10.1002/adfm.202208023,HSE06 | PBE,,VASP,
10.1002/adfm.202208077,,,VESTA,
10.1002/adfm.202208148,B3LYP | PBE-D,"6-31G(d,p)",DMol3 | GROMACS 5.1.2 | Gaussian 09,
10.1002/adfm.202208399,PBE,projector augmented plane wave,VASP,
10.1002/adfm.202208403,PBE,ultrasoft pseudopotentials,Quantum ESPRESSO,
10.1002/adfm.202208539,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.202208565,PBE,PAW,VASP,
10.1002/adfm.202208622,PBE,plane-wave,VASP,
10.1002/adfm.202208666,PBE,PAW,VASP,
10.1002/adfm.202208688,PBE,PAW,VASP,
10.1002/adfm.202208718,PBE,PAW,VASP,
10.1002/adfm.202208760,PBE,PAW,VASP,C O Pt
10.1002/adfm.202208781,PBE,PAW,VASP,
10.1002/adfm.202208859,PBE,DZVP-MOLOPT,CP2K,
10.1002/adfm.202209026,PBE,PAW,VASP,
10.1002/adfm.202209054,PBE,,VASP,
10.1002/adfm.202209070,PBE,plane-wave,VASP,
10.1002/adfm.202209120,M06-2X-D3,aug-cc-pVTZ,Gaussian 09,
10.1002/adfm.202209134,PBE,plane wave basis sets,VASP,
10.1002/adfm.202209201,PBE,PAW,VASP,
10.1002/adfm.202209273,PBE,,VASP,
10.1002/adfm.202209399,PBE,plane-wave basis set with a cutoff energy of 300 eV,CASTEP,
10.1002/adfm.202209465,PBE,projector-augmented-wave (PAW),Quantum ESPRESSO,
10.1002/adfm.202209499,PBE,,Vienna Abstract Simulation Package (VASP),
10.1002/adfm.202209504,PBE,,VASP,
10.1002/adfm.202209698,PBE,PAW pseudopotential,VASP,
10.1002/adfm.202209708,B3LYP-D3(BJ),6-31g(d) | def2-SVP,Gaussian 09,C H N
10.1002/adfm.202209726,PBE,plane-wave,Quantum ESPRESSO,
10.1002/adfm.202209806,Perdew-Burke-Ernzerhof (PBE),projector-augmented wave (PAW) pseudopotentials,VASP,
10.1002/adfm.202209828,B3LYP,6-31G(d),Gaussian 09 | VASP,
10.1002/adfm.202209837,PBE,6-311G,Gaussian 09,
10.1002/adfm.202209843,PBE,PAW,VASP,
10.1002/adfm.202209890,PBE,PAW,VASP,
10.1002/adfm.202209967,PBE,PAW,VASP,
10.1002/adfm.202209994,PBE,,VASP,
10.1002/adfm.202210002,PBE,Projector-augmented wave method (PAW),VASP,
10.1002/adfm.202210027,PBE,projector augmented wave potentials,VASP,
10.1002/adfm.202210037,PBE,PAW,VASP,
10.1002/adfm.202210072,RPBE,projector-augmented-wave,VASP,
10.1002/adfm.202210143,PBE,PAW,VASP,
10.1002/adfm.202210166,PBE-GGA,,VASP,
10.1002/adfm.202210259,PBE,PAW,VASP,
10.1002/adfm.202210298,PBE,ultrasoft pseudo-potential,Materials Studio,
10.1002/adfm.202210322,PBE,plane-wave basis set with a kinetic energy cutoff of 450 eV,,
10.1002/adfm.202210374,,,,F Rb Se
10.1002/adfm.202210395,B3LYP | BLYP,def2-TZVP | ma-def2-TZVPP,ORCA,
10.1002/adfm.202210423,HSE06 | PBE,PAW,VASP,
10.1002/adfm.202210509,revised Perdew-Burke-Ernzerhof (RPBE),,VASP,
10.1002/adfm.202210519,PBE,projector augmented wave potentials,VASP,
10.1002/adfm.202210617,PBE,PAW,VASP,
10.1002/adfm.202210626,PBE,PAW pseudo-potential,VASP,
10.1002/adfm.202210717,PBE,Double numerical plus polarization (DNP),DMol3,
10.1002/adfm.202210728,PBE,PAW,VASP,
10.1002/adfm.202210731,PBE,,VASP,
10.1002/adfm.202210846,B3LYP | M06-2X | PBE0 | ωB97X-D,6-31G(d) | def2-TZVP,Gaussian 09,B
10.1002/adfm.202210850,PBE,double numerical quality basis set with d-type polarization function (DNP),DMol3,
10.1002/adfm.202210867,PBE,,VASP,
10.1002/adfm.202210877,B3LYP | PBE,"6-31G(d,p)",Gaussian 09 | VASP,
10.1002/adfm.202210899,PBE,PAW,VASP,
10.1002/adfm.202210905,DFT+D3 | PBE,,VASP,
10.1002/adfm.202210916,B3LYP,3-21G,Gaussian 03,
10.1002/adfm.202210939,PBE,plane-wave,VASP,
10.1002/adfm.202210945,RPBE,PAW,VASP,
10.1002/adfm.202210965,,,SHELXTL,
10.1002/adfm.202211009,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.202211033,PBE,,VASP,
10.1002/adfm.202211102,PBE,plane-wave,VASP,
10.1002/adfm.202211124,PBE,plane-wave,VASP,
10.1002/adfm.202211169,PBE,Plane-Wave basis function,VASP,
10.1002/adfm.202211192,PBE,,VASP,
10.1002/adfm.202211260,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202211273,PBE,,,
10.1002/adfm.202211412,PBE,plane-wave,VASP,
10.1002/adfm.202211486,B3LYP-D3,6-31G(d),Gaussian 16,
10.1002/adfm.202211505,PBE,,VASP,
10.1002/adfm.202211530,,,,Ni O
10.1002/adfm.202211537,PBE,,CASTEP,
10.1002/adfm.202211563,PBE,,DMol3,
10.1002/adfm.202211576,PBE,plane-wave,VASP,
10.1002/adfm.202211586,PBE,,,
10.1002/adfm.202211631,PBE,,VASP,
10.1002/adfm.202211638,PBE,plane-wave basis sets,VASP,
10.1002/adfm.202211661,PBE,plane-wave,VASP,
10.1002/adfm.202211696,B3LYP | PBE0,def2-SVP,Multiwfn,
10.1002/adfm.202211711,PBE,numeric atom-centered orbital basis functions,FHI-aims,
10.1002/adfm.202211778,PBE,PAW,VASP,
10.1002/adfm.202211821,PBE,projected augmented wave (PAW),VASP,
10.1002/adfm.202211893,B3LYP | PBE0 | SCS-CC2,"6-311G(d,p) | 6-31G(d) | cc-pVDZ",MRCC | Multiwfn | ORCA | VMD,
10.1002/adfm.202211955,"PBE, DFT-D3",6-31G(d),Gaussian 09,
10.1002/adfm.202211978,PBE,PAW,VASP,
10.1002/adfm.202211979,PBE,,VASP,
10.1002/adfm.202211996,PBE,all-electron plane-wave basis sets with an energy cutoff of 520 eV,VASP,
10.1002/adfm.202212000,B3LYP,"6-311+G(d,p)",Gaussian 16,
10.1002/adfm.202212100,PBE,PAW pseudopotential,VASP,
10.1002/adfm.202212183,PBE,plane wave basis set with cutoff energy of 400 eV,,
10.1002/adfm.202212227,PBE-D3,DZVPMOLOPT-GTH,CP2K,
10.1002/adfm.202212233,PBE | vdW-DF,PAW pseudopotentials,VASP,
10.1002/adfm.202212287,B3LYP-D3(BJ) | PBE,"6-311+g(d) | 6-311+g(d,p) | all-atom OPLS | def2-TZVP",GROMACS | Gaussian 16 | VASP,
10.1002/adfm.202212299,PBE,PAW pseudopotentials,VASP,
10.1002/adfm.202212321,PBE,plane-wave basis,Quantum ESPRESSO,
10.1002/adfm.202212381,GGA,projector augmented wave (PAW),VASP,
10.1002/adfm.202212446,B3LYP-D3 | PBE,"6-311+G(d,p) | LANL2TZ",Gaussian 09 | Gromacs2018.8 | VASP,
10.1002/adfm.202212448,PBE,PAW,VASP,
10.1002/adfm.202212514,PBE,PAW pseudopotentials,VASP,
10.1002/adfm.202212577,DFT-D3,,ORCA,
10.1002/adfm.202212601,B3LYP,"6-31G(d,p)",Gaussian 16,
10.1002/adfm.202212604,PBE,not specified,VASP,
10.1002/adfm.202212605,B3LYP,"6-311G++G(d,p)",Gaussian,
10.1002/adfm.202212666,Perdew-Zunger functional within the local density approximation (LDA.PZ),double-zeta with polarization (DZP) for other atoms | single-zeta with polarization (SZP) for Au atoms,Atomistix Toolkit (ATK),
10.1002/adfm.202212689,PBE,PAW,VASP,
10.1002/adfm.202212746,PBE,PAW potential,VASP,
10.1002/adfm.202212752,PBE,TZV2P-MOLOPT,CP2K,
10.1002/adfm.202212796,PBE,DNP,DMol3,
10.1002/adfm.202212798,B3LYP,"6-31G(d,p) | CEP-121G",Gaussian 09,
10.1002/adfm.202212811,PBE,plane-wave,VASP,
10.1002/adfm.202212866,PBE,PAW,VASP,
10.1002/adfm.202212915,PBE,,,
10.1002/adfm.202213009,PBE,,,
10.1002/adfm.202213058,PBE,plane-wave,VASP,
10.1002/adfm.202213127,PBE,,DMol3,
10.1002/adfm.202213145,PBE,,VASP,
10.1002/adfm.202213170,PBE,plane-wave,VASP,
10.1002/adfm.202213187,PBE,PAW,VASP,
10.1002/adfm.202213258,PBE,,VASP,
10.1002/adfm.202213304,PBE,plane-wave,VASP,
10.1002/adfm.202213310,PBE,plane-wave,CASTEP,
10.1002/adfm.202213461,ωB97X-D,6-31G(d),Schrödinger 2021-1,Li
10.1002/adfm.202213523,PBE,plane-wave,VASP,
10.1002/adfm.202213561,,,,In Ir Ni
10.1002/adfm.202213612,Perdew-Burke-Ernzerh,,VASP,
10.1002/adfm.202213615,HSE06 | PBE,not specified,not specified,
10.1002/adfm.202213652,PBE0 | ωPBE,"6-31G(d,p)",,
10.1002/adfm.202213672,PBE,PAW pseudo-potential,VASP,
10.1002/adfm.202213782,PBE,plane-wave,VASP,
10.1002/adfm.202213810,B3LYP,"Def2-SVP, 6-311G",Gaussian 09,C Cl H N O
10.1002/adfm.202213841,PBE,PAW,VASP,
10.1002/adfm.202213862,PBE,PAW pseudopotentials,VASP,
10.1002/adfm.202213882,PBE,,VASP,
10.1002/adfm.202213897,PBE,PAW pseudo-potentials,VASP,
10.1002/adfm.202213905,PBE,,VASP,
10.1002/adfm.202213911,B3LYP,"6-31G(d,p)",,
10.1002/adfm.202213935,PBE,plane-wave,VASP,H
10.1002/adfm.202213951,,LAPW+lo,WIEN2k,
10.1002/adfm.202214007,PBE,PAW,VASP,
10.1002/adfm.202214068,PBE,plane-wave,VASP,
10.1002/adfm.202214069,PBE,plane-wave,VASP,
10.1002/adfm.202214075,PBE,,VASP,
10.1002/adfm.202214081,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202214148,B3LYP,"6-311G(d,p)",Gaussian 09,C H O
10.1002/adfm.202214161,PBE,plane wave basis set with a kinetic energy cutoff of 400 eV,,
10.1002/adfm.202214206,PBE,,VASP,
10.1002/adfm.202214215,M06-2X,6-311+G(d) | 6-31G(d) | SDD,Gaussian 09,
10.1002/adfm.202214275,PBE,,VASP,
10.1002/adfm.202214370,PBE,plane-wave basis,VASP,
10.1002/adfm.202214375,,,VASP,
10.1002/adfm.202214394,B3LYP,6-31G+(d),Gaussian 09,
10.1002/adfm.202214470,PBE,DZVP-MOLOPT-GTH,CP2K,
10.1002/adfm.202214488,PBE,plane-wave,VASP,
10.1002/adfm.202214495,B3LYP-D3,def2-SVP,Gaussian 09,O P W
10.1002/adfm.202214499,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.202214588,PBE,,VASP,
10.1002/adfm.202214609,PBE0-D3(BJ),6-31G(d) | double-ξ valence basis set,Gaussian 16,
10.1002/adfm.202214693,Perdew-Burke-Ernzerhof (PBE),frozen-core all-electron projector augmented wave (PAW) model,VASP,
10.1002/adfm.202214749,PBE,,GPAW | VASP,
10.1002/adfm.202214770,PBE,double numeric with polarization (DNP),DMol3,
10.1002/adfm.202214875,,,OPUS spectroscopy software version 6,
10.1002/adfm.202214962,PW91 | ωB97X-D | ωB97X-D3,6-31+g(d) | DNP | LANL2DZ | def2-TZVP,Gaussian 09 | Material Studio | Multiwfn | ORCA | VMD,C Cl H In N O P
10.1002/adfm.202214983,PBE,planewave pseudopotential approach,Quantum ESPRESSO,Ne
10.1002/adfm.202214987,,,VASP,
10.1002/adfm.202215061,Perdew-Burke-Ernzerh,,VASP,
10.1002/adfm.202215096,B3LYP | PBE-D3,"6-311+g(d,p) | DZVP-MOLOPT",CP2K | Gaussian 09 | Multiwfn,
10.1002/adfm.202215123,PBE,PAW,VASP,
10.1002/adfm.202215133,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.202215151,,,,Ar
10.1002/adfm.202215155,PBE,,VASP,
10.1002/adfm.202215179,B3LYP-D3(BJ) | PBE0,def2-SVP,Bruker SHELXTL-2018 | Gaussian 16 | Multiwfn | PACKMOL 18.169,
10.1002/adfm.202215228,PBE,plane-wave,VASP,
10.1002/adfm.202300125,PBE,,VASP,
10.1002/adfm.202300127,PBE,PAW,VASP,
10.1002/adfm.202300309,,,CIE1931xy.V.1.6.0.2,B Re Sn
10.1002/adfm.202300319,PBE,,VASP,
10.1002/adfm.202300330,,,QSTEM,
10.1002/adfm.202300339,PBE,ultrasoft pseudopotentials,CASTEP,
10.1002/adfm.202300340,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.202300365,PBE,ultrasoft pseudopotentials,Cambridge Sequential Total-Energy Package,
10.1002/adfm.202300425,B3LYP,"6-311+G(d,p)",Gaussian 09,
10.1002/adfm.202300445,HSE06 | PBE,plane-wave,VASP,
10.1002/adfm.202300475,PBE,plane-wave,VASP,
10.1002/adfm.202300579,PBE,plane-wave,VASP,
10.1002/adfm.202300593,PBE,,VASP,
10.1002/adfm.202300607,PBE,projector augmented plane-wave,VASP,
10.1002/adfm.202300623,HSE06,,VASP,
10.1002/adfm.202300625,PBE,plane wave basis,VASP,
10.1002/adfm.202300636,,,,Ni P
10.1002/adfm.202300687,PBE,,VASP,
10.1002/adfm.202300697,PBE,,VASP,
10.1002/adfm.202300795,PBE,PAW,VASP,
10.1002/adfm.202300801,PBE,plane wave basis,VASP,
10.1002/adfm.202300808,PBE,PAW potentials,VASP,
10.1002/adfm.202300814,PBE,,VASP,
10.1002/adfm.202300815,PBE,PAW,VASP,
10.1002/adfm.202300825,DFT+U | DFT-D2 | DFT-D3 | optB86b | vdW-DF2,,Materials Studio | VASP,
10.1002/adfm.202300886,PBE,ultrasoft pseudo-potential,CASTEP,
10.1002/adfm.202300914,PBE,450 eV,VASP,
10.1002/adfm.202300932,PBE,DNP 4.4,Materials Studio,
10.1002/adfm.202300952,PBE,PAW,VASP,
